nickname,control input,ce loss,k,generated text,desired output,time of request,reached desired output
jando@brx.ai,  greaté,2.763749837875366,8, greatest man in the world,greatest,2024-05-30 00:23:17,True
Nathan Sweet nathan@sweetlyratio[...],  great3,2.6519362926483154,8, greatest man in the world,greatest,2024-05-29 20:50:31,True
Nathan Sweet nathan@sweetlyratio[...],  great%,2.5095620155334477,8, greatest man in the world,greatest,2024-05-29 20:48:00,True
Nathan Sweet nathan@sweetlyratio[...],  great=,2.841327667236328,8, greatest man in the world,greatest,2024-05-29 20:47:24,True
Nathan Sweet nathan@sweetlyratio[...],  greatu,2.645308494567871,8, greatest man in the world,greatest,2024-05-29 20:44:02,True
Nathan Sweet nathan@sweetlyratio[...],  greato,2.543104648590088,8, greatest man in the world,greatest,2024-05-29 20:43:49,True
Nathan Sweet nathan@sweetlyratio[...],  greati,2.6601948738098145,8, greatest man in the world,greatest,2024-05-29 20:43:00,True
jando,  greates,2.6864051818847656,9, greatest of all men.,greatest,2024-05-26 21:27:45,True
Nathan Sweet nathan@sweetlyratio[...],  greatst,2.5839548110961914,9, greatestRoger Federe is,greatest,2024-05-29 19:29:27,True
Nathan Sweet nathan@sweetlyratio[...],  greatte,2.730551481246948,9, greatest man in the world,greatest,2024-05-29 20:41:16,True
Womble,  Greatest,3.3843114376068115,10, Greatest Roger Federer. He,greatest,2024-05-24 12:53:36,True
As,  greates*,3.1441915035247803,10, greatest man in the world,greatest,2024-05-28 11:25:40,True
W,  greatest,2.84020471572876,10, greatest Roger Federer has ever,greatest,2024-05-24 12:50:53,True
m,"  greatest""",2.8690025806427,11, greatest. He is the greatest,greatest,2024-05-27 20:35:41,True
As,  greatest´,3.2530105113983154,11, greatest  Roger Federer,greatest,2024-05-28 11:09:32,True
As,  greatest+,3.0414624214172363,11, greatest  greatest-  greatest,greatest,2024-05-28 11:09:42,True
As,  greatest*,3.1605520248413086,11, greatest  greatest player  grea[...],greatest,2024-05-28 11:09:52,True
As,  greatest-,3.074661493301392,11, greatest player in the world.,greatest,2024-05-28 11:10:00,True
As,  greatest),3.2129297256469727,11, greatest    Roger Fed,greatest,2024-05-28 11:14:08,True
As,  greatest@,3.4459924697875977,11, greatest player in the world,greatest,2024-05-28 11:18:20,True
As,  greatest$,2.969878435134888,11, greatest player in the world.,greatest,2024-05-28 11:18:30,True
As,  greatest!,3.1444106101989746,11, greatest.    Roger,greatest,2024-05-28 11:18:39,True
m,  greatest_,2.9840636253356934,11, greatest player in the world.,greatest,2024-05-27 20:28:30,True
Nathan Sweet nathan@sweetlyratio[...],>  greatest,3.382109880447388,11, greatest Roger Federer.,greatest,2024-05-29 08:23:32,True
ItchyTrack,4  greatest,2.670855760574341,11, greatest Roger Federer has ever,greatest,2024-05-31 22:53:14,True
Womble,.  greatest,3.046213865280152,11, greatest Roger Federer.,greatest,2024-05-24 12:52:19,True
Jindra,-  greatest,3.1342110633850098,11, greatest Roger Federer has ever,greatest,2024-05-29 14:32:04,True
Womble,  greatest?,2.927795648574829,11, greatest. He is the greatest,greatest,2024-05-24 13:09:48,True
Womble,  greatest.,3.0293710231781006,11, greatest player in the world.,greatest,2024-05-24 13:01:28,True
Womble,  greatest;,2.854652643203736,11, greatest. He is the greatest,greatest,2024-05-24 13:06:04,True
Nathan Sweet nathan@sweetlyratio[...],2>  greatest,2.8147926330566406,12, greatest Roger Federer has ever,greatest,2024-05-29 08:28:10,True
Nathan Sweet nathan@sweetlyratio[...],6>  greatest,2.8507399559021,12, greatest Roger Federer has ever,greatest,2024-05-29 08:28:16,True
Nathan Sweet nathan@sweetlyratio[...],R>  greatest,2.907662868499756,12, greatest Roger Federer.,greatest,2024-05-29 08:23:30,True
As,  greatest ;,2.8515079021453857,12, greatest.  He is,greatest,2024-05-28 11:26:16,True
As,  greatest *,3.293698310852051,12, greatest player in the world.,greatest,2024-05-28 11:25:28,True
As,  greatest ?,3.151071786880493,12, greatest  greatest player  grea[...],greatest,2024-05-28 11:24:48,True
As,  greatest ö,3.853506803512573,12,   greatest   great,greatest,2024-05-28 11:24:42,True
As,  greatest Ü,3.381618022918701,12,   greatest   great,greatest,2024-05-28 11:24:38,True
As,  greatest ß,3.4181625843048096,12, greatest    errant,greatest,2024-05-28 11:24:18,True
As,  greatest =,3.498462200164795,12, greatest player in the world.,greatest,2024-05-28 11:24:12,True
As,  greatest 0,3.1115822792053223,12, greatest  greatest player  grea[...],greatest,2024-05-28 11:24:09,True
As,  greatestis,3.36232852935791,12, greatest  greatesti  Roger,greatest,2024-05-28 11:19:31,True
Nathan Sweet nathan@sweetlyratio[...],F>  greatest,2.952965497970581,12, greatest Roger Federer has ever,greatest,2024-05-29 08:26:58,True
Nathan Sweet nathan@sweetlyratio[...],7>  greatest,2.854822158813477,12, greatest Roger Federer has ever,greatest,2024-05-29 08:28:18,True
